RowID,Nation,FIS code,Year,Time,Bib,Rank,Athlete,Event Name,Date
38,CZE,9155052,1996,30.24,65,38,HOUZVICKOVA Kristyna,Qualification Götschen (GER),2023-12-09
39,GER,9205105,2006,30.29,58,39,GUNKEL Hannah,Qualification Götschen (GER),2023-12-09
40,CAN,9105317,1998,30.39,40,40,VAN GRONINGEN Abby,Qualification Götschen (GER),2023-12-09
41,ITA,9295211,2005,30.41,71,41,RABANSER Sophie,Qualification Götschen (GER),2023-12-09
42,JPN,9305461,2004,30.56,39,42,OSHIMA Hinano,Qualification Götschen (GER),2023-12-09
43,JPN,9305476,2005,30.62,50,43,MAEDA Suzumi,Qualification Götschen (GER),2023-12-09
44,POL,9435094,2004,30.62,47,44,KACICZAK Olga,Qualification Götschen (GER),2023-12-09
45,CZE,9155137,2007,30.63,70,45,OTIPKOVA Hana,Qualification Götschen (GER),2023-12-09
46,POL,9435100,2005,30.68,56,46,ZAPALA Sonia,Qualification Götschen (GER),2023-12-09
47,CZE,9155116,2006,31.04,69,47,MARESOVA Emma Maya,Qualification Götschen (GER),2023-12-09
48,ITA,9295182,2003,31.09,48,48,VALLE Sofia,Qualification Götschen (GER),2023-12-09
49,SUI,9515198,2002,31.12,76,49,KLEESATTEL Eliane,Qualification Götschen (GER),2023-12-09
50,ITA,9295224,2006,31.35,74,50,MAMMONE Anna Victoria,Qualification Götschen (GER),2023-12-09
51,POL,9435099,2004,31.51,62,51,STOKLOSA Natalia,Qualification Götschen (GER),2023-12-09
52,GER,9205106,2007,31.65,77,52,REICHELMEIR Ina,Qualification Götschen (GER),2023-12-09
53,ITA,9295178,2003,32.25,73,53,BOSSA Rachele,Qualification Götschen (GER),2023-12-09
54,POL,9435105,2006,32.83,79,54,MICHURA Klaudia,Qualification Götschen (GER),2023-12-09
55,CZE,9155098,2004,32.85,67,55,ZVIRECI Jana,Qualification Götschen (GER),2023-12-09
56,CZE,9155110,2006,32.86,68,56,BIEGELOVA Sofie,Qualification Götschen (GER),2023-12-09
57,JPN,9305438,2003,33.48,72,57,IIOKA Maika,Qualification Götschen (GER),2023-12-09
58,ITA,9295200,2004,33.71,66,58,FACHIN Fabiana,Qualification Götschen (GER),2023-12-09
59,KOR,9325092,2007,45.10,81,59,CHO Sumin,Qualification Götschen (GER),2023-12-09
60,CZE,9155107,2005,"",34,"",KECLIKOVA Adela,Qualification Götschen (GER),2023-12-09
61,AUS,9045081,1997,"",57,"",BONGIORNO Millie,Qualification Götschen (GER),2023-12-09
