RowID,Nation,FIS code,Year,Time,Bib,Rank,Athlete,Event Name,Date
33,CHN,9125092,2004,29.89,60,33,PANG Yu,Qualification Götschen (GER),2023-12-08
34,GER,9205097,2005,30.04,49,34,TANIGUCHI Yuna,Qualification Götschen (GER),2023-12-08
35,ITA,9295211,2005,30.08,71,35,RABANSER Sophie,Qualification Götschen (GER),2023-12-08
36,AUS,9045081,1997,30.13,57,36,BONGIORNO Millie,Qualification Götschen (GER),2023-12-08
37,POL,9435097,2004,30.19,63,37,POLTORAK Karolina,Qualification Götschen (GER),2023-12-08
38,ITA,9295200,2004,30.30,66,38,FACHIN Fabiana,Qualification Götschen (GER),2023-12-08
39,JPN,9305291,1996,30.34,61,39,TOYODA Asa,Qualification Götschen (GER),2023-12-08
40,GER,9205105,2006,30.34,58,40,GUNKEL Hannah,Qualification Götschen (GER),2023-12-08
41,SUI,9515198,2002,30.40,76,41,KLEESATTEL Eliane,Qualification Götschen (GER),2023-12-08
42,CAN,9105317,1998,30.41,40,42,VAN GRONINGEN Abby,Qualification Götschen (GER),2023-12-08
43,ITA,9295182,2003,30.49,48,43,VALLE Sofia,Qualification Götschen (GER),2023-12-08
44,CZE,9155052,1996,30.54,65,44,HOUZVICKOVA Kristyna,Qualification Götschen (GER),2023-12-08
45,JPN,9305476,2005,30.84,50,45,MAEDA Suzumi,Qualification Götschen (GER),2023-12-08
46,ITA,9295234,2008,30.86,79,46,CARNEVALI Giorgia,Qualification Götschen (GER),2023-12-08
47,ITA,9295224,2006,30.96,74,47,MAMMONE Anna Victoria,Qualification Götschen (GER),2023-12-08
48,POL,9435094,2004,31.18,47,48,KACICZAK Olga,Qualification Götschen (GER),2023-12-08
49,CZE,9155116,2006,31.37,69,49,MARESOVA Emma Maya,Qualification Götschen (GER),2023-12-08
50,POL,9435100,2005,31.50,56,50,ZAPALA Sonia,Qualification Götschen (GER),2023-12-08
51,JPN,9305461,2004,31.56,39,51,OSHIMA Hinano,Qualification Götschen (GER),2023-12-08
52,ITA,9295178,2003,32.29,73,52,BOSSA Rachele,Qualification Götschen (GER),2023-12-08
53,CZE,9155137,2007,33.18,70,53,OTIPKOVA Hana,Qualification Götschen (GER),2023-12-08
54,CZE,9155098,2004,34.10,67,54,ZVIRECI Jana,Qualification Götschen (GER),2023-12-08
55,POL,9435099,2004,34.17,62,55,STOKLOSA Natalia,Qualification Götschen (GER),2023-12-08
56,CZE,9155110,2006,34.31,68,56,BIEGELOVA Sofie,Qualification Götschen (GER),2023-12-08
57,JPN,9305438,2003,34.45,72,57,IIOKA Maika,Qualification Götschen (GER),2023-12-08
58,POL,9435105,2006,34.58,78,58,MICHURA Klaudia,Qualification Götschen (GER),2023-12-08
59,KOR,9325092,2007,57.49,81,59,CHO Sumin,Qualification Götschen (GER),2023-12-08
60,GER,9205106,2007,"",77,"",REICHELMEIR Ina,Qualification Götschen (GER),2023-12-08
61,NED,9405023,1996,"",17,"",DEKKER Michelle,Qualification Götschen (GER),2023-12-08
